iter	Passed	Remaining
0	1	139
1	2	124
2	3	121
3	4	111
4	5	108
5	6	106
6	7	104
7	8	102
8	11	115
9	12	113
10	13	110
11	14	108
12	15	105
13	16	103
14	17	101
15	19	100
16	20	98
17	21	97
18	22	95
19	23	93
20	24	92
21	25	91
22	27	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	83
28	33	82
29	34	81
30	35	79
31	36	78
32	37	77
33	39	75
34	40	74
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	67
41	47	65
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	71	42
63	72	40
64	73	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	98	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
